Song Mode,Song Tonic,Chord Count,0,1,2,3,4,5,6,7,8,9,10,11
major,A,6847,34.58448955747043,0.02920987293705272,9.11348035636045,0.33591353877610636,2.219950343216007,21.702935592230173,0.11683949174821089,23.353293413173652,0.43814809405579086,6.937344822550022,0.9785307433912662,0.1898641740908427
major,C,9533,30.074478128605897,0.020979754536871918,11.014371131857757,0.1573481590265394,4.909262561628029,23.360956676806882,0.3146963180530788,20.088114969054864,0.14685828175810342,8.69610825553341,0.8391901814748767,0.37763558166369454
major,Ab,4178,29.535662996649116,0.35902345619913834,8.13786500718047,0.0,4.954523695548109,21.15844901866922,0.09573958831977022,22.426998563906174,0.023934897079942556,11.584490186692198,1.3164193393968406,0.40689325035902346
major,E,7930,33.97225725094577,0.08827238335435057,7.011349306431273,0.31525851197982346,2.9255989911727616,24.174022698612863,0.16393442622950818,18.448928121059268,0.25220680958385877,10.390920554854981,2.1185372005044134,0.13871374527112232
major,D,9623,29.19048113893796,0.11430946690221344,9.789047074716823,0.22861893380442688,4.426893900031175,20.118466174789567,0.14548477605736257,22.72680037410371,0.07274238802868128,10.932141743738958,1.4132806817000936,0.8417333471890264
major,G,8940,28.310961968680086,0.03355704697986577,10.123042505592842,0.16778523489932887,4.01565995525727,20.201342281879196,0.07829977628635347,25.559284116331092,0.0894854586129754,9.5413870246085,0.8165548098434003,1.0626398210290828
major,F,6640,27.831325301204817,0.015060240963855423,7.635542168674698,0.045180722891566265,3.8554216867469884,25.19578313253012,0.15060240963855423,24.954819277108435,0.16566265060240964,8.885542168674698,1.0542168674698795,0.21084337349397592
major,C#,88,37.5,0.0,12.5,0.0,0.0,37.5,0.0,12.5,0.0,0.0,0.0,0.0
major,Cb,94,21.27659574468085,0.0,15.957446808510639,0.0,28.723404255319153,0.0,0.0,34.04255319148936,0.0,0.0,0.0,0.0
major,Bb,3718,32.57127487896719,0.10758472296933834,11.350188273265196,0.26896180742334586,3.2544378698224854,18.665949435180202,0.13448090371167293,24.636901559978483,0.24206562668101128,7.988165680473373,0.37654653039268426,0.4034427111350188
major,Db,2403,31.169371618809823,0.0,8.281315022888057,0.0,4.7440699126092385,21.34831460674157,0.7074490220557637,26.133999167707035,0.37453183520599254,6.699958385351644,0.3329171868497711,0.20807324178110698
major,F#,731,28.0437756497948,0.0,10.39671682626539,0.0,1.094391244870041,23.119015047879618,0.8207934336525308,13.406292749658002,0.27359781121751026,18.87824897400821,1.7783857729138166,2.188782489740082
major,Eb,2771,26.705160591844102,0.3247924936845904,11.620353662937568,0.866113316492241,8.01154817755323,18.91014074341393,0.7578491519307109,20.028870443883072,0.25261638397690367,10.321183688199206,1.2269938650306749,0.9743774810537712
major,B,2269,30.85059497576025,0.8373732921992068,7.624504186866461,0.2644336712208021,3.4376377258704274,24.504186866460998,0.13221683561040104,25.1211987659762,0.0,5.156456588805641,1.0577346848832083,1.0136624063464081
major,Gb,318,28.930817610062892,0.0,16.037735849056602,0.0,3.7735849056603774,10.062893081761008,0.0,19.81132075471698,0.0,20.440251572327046,0.0,0.9433962264150944
minor,A,6359,49.52036483723856,0.581852492530272,1.8399119358389684,6.0072338417990245,0.17298317345494577,11.684227079729517,0.0,9.781412171725114,7.170938826859569,0.34596634690989153,12.895109293914137,0.0
minor,C,5208,42.74193548387097,0.825652841781874,2.342549923195085,4.550691244239631,1.4400921658986174,17.607526881720432,0.748847926267281,9.466205837173579,6.624423963133641,0.748847926267281,12.653609831029186,0.24961597542242703
minor,Ab,2911,54.10511851597389,2.2329096530401924,5.152868430092751,1.8550326348333905,0.790106492614222,14.050154586052901,1.580212985228444,2.9886636894537957,2.8512538646513224,0.6870491240123668,12.847818619031262,0.8588114050154586
minor,E,6191,50.411888224842514,2.406719431432725,1.4214181876918106,6.331771926990794,0.3068971087061864,14.682603779680182,1.0499111613632695,6.2025520917460835,8.140849620416734,0.5168793409788403,8.383136811500565,0.14537231465029882
minor,D,8046,48.43400447427293,0.4349987571464081,1.3671389510315684,6.388267462092966,0.22371364653243847,14.1436738752175,0.012428535918468804,8.923688789460602,6.251553566989809,0.6835694755157842,12.925677355207558,0.21128511061396965
minor,G,3830,58.485639686684074,0.7571801566579635,0.5744125326370757,5.561357702349869,0.44386422976501305,11.148825065274151,0.20887728459530025,4.543080939947781,4.856396866840731,0.6788511749347258,12.297650130548304,0.44386422976501305
minor,F,2595,42.58188824662813,0.8477842003853564,1.0404624277456647,6.9364161849710975,1.7726396917148364,18.34296724470135,2.7360308285163777,11.445086705202312,6.859344894026975,0.8863198458574182,5.472061657032755,1.0789980732177264
minor,C#,1228,39.33224755700326,0.0,0.0,3.7459283387622153,0.0,10.097719869706841,0.0,11.074918566775244,13.762214983713356,0.0,21.986970684039086,0.0
minor,Cb,40,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minor,Bb,2028,38.56015779092702,4.487179487179487,1.725838264299803,3.8461538461538463,1.183431952662722,12.32741617357002,2.1696252465483234,10.256410256410255,9.171597633136095,1.6272189349112427,14.546351084812622,0.09861932938856016
minor,Db,819,57.75335775335775,1.9536019536019535,2.6862026862026864,3.0525030525030523,0.6105006105006106,24.297924297924297,0.0,7.6923076923076925,1.5873015873015872,0.1221001221001221,0.2442002442002442,0.0
minor,Eb,2889,55.48632744894427,0.4153686396677051,1.3845621322256836,5.572862582208376,0.6230529595015576,14.884042921426099,3.2191069574247146,5.46902042229145,4.46521287642783,0.380754586362063,5.019037729318103,3.080650744202146
